District,Case ID,Application Type,ERF Number,ISIS Key,Locality Address,Allotment Area,Status Description,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Building Work Value Group,Number of Units,RDP/LCH Indicator,Submission Date,Approved Date,Commencement Date,Completion Date,Year,Area 2
Tygerberg,70513593,Building Plan < 500m2,37307,659132,5 CILMOR STREET   STIKLAND INDUSTRIA,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Industrial Offices,0,"13,000.00",Under 5 million,1,No,26/08/2020,15/09/2020,30/09/2020,25/11/2020,2020,STIKLAND INDUSTRIA
Northern,70515195,Building Plan < 500m2,40996,61282850,14 SONGBIRD STREET KLEIN D ARIA ESTATE 97 JIP DE JAGER DRIVE   DOOR DE KRAAL FARM,BELLVILLE,Work Complete,Other Approvals,Private,Other,Other,Changing strip foundation to raft foundation,0,"13,000.00",Under 5 million,1,No,22/10/2020,07/12/2020,13/01/2021,13/01/2021,2020,TYGER NORTHERN SUBURBS
Tygerberg,70517960,Minor Works (Circulated),6344,631320,60 BEDFORD ROAD   GLENLILY,PAROW,Application Approved,Additions and Alterations,Private,Internal Alterations,Other,Fire Escape Route at Retirement Home,0,"13,000.00",Under 5 million,1,No,21/09/2020,23/09/2020,,,2020,PAROW
Northern,70520320,Minor Works (Circulated),309,665066,52 KENRIDGE AVENUE   KENRIDGE,KENRIDGE,Application Approved,Additions and Alterations,Private,Internal Alterations,Other,Internal alterations to dwelling,0,"13,000.00",Under 5 million,1,No,15/10/2020,21/10/2020,,,2020,TYGER NORTHERN SUBURBS
Northern,70523814,Minor Works (Circulated),309,654012,42 KOMMISSARIS STREET   WELGEMOED,BELLVILLE,Application Approved,Additions and Alterations,Private,Internal Alterations,Other,Internal alterations to dwelling,0,"13,000.00",Under 5 million,1,No,04/11/2020,25/11/2020,,,2020,TYGER NORTHERN SUBURBS
Northern,70527199,Minor Works (Non Circulated),1229,636306,40 MAHOGANY CRESCENT   LOEVENSTEIN,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Other,Internal alts_dwellinng,0,"13,000.00",Under 5 million,1,No,26/11/2020,01/12/2020,10/03/2021,,2020,TYGER NORTHERN SUBURBS
Tygerberg,70543520,Minor Works (Circulated),3131,654187,6 JAKARANDA STREET   BLOMTUIN,BELLVILLE,Payment Received/Submitted,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Dwelling,0,"13,000.00",Under 5 million,0,No,31/03/2021,,,,2021,BELLVILLE
Northern,80063297,Building Plan < 500m2,38722,958088,39 CARL CRONJE DRIVE  TYGERVALLEY WATERFRONT,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"13,000.00",Under 5 million,1,No,29/05/2015,09/10/2015,16/10/2015,17/06/2016,2015,TYGERVALLEY
Tygerberg,70531259,Minor Works (Circulated),10713,634663,56 DUMINY STREET   VREDELUST BELLVILLE,BELLVILLE,Application Approved,Other Approvals,Private,Walls,Walls,,0,"12,800.00",Under 5 million,0,No,08/01/2021,12/01/2021,,,2021,BELLVILLE
Tygerberg,70235125,Minor Works (Circulated),24712,21551932,,PAROW,Certificate Issued,Other Approvals,Private,Other,Other,Rider Plan,0,"12,600.00",Under 5 million,1,No,10/03/2015,23/03/2015,27/05/2015,27/05/2015,2015,PAROW
Northern,70290417,Minor Works (Non Circulated),123,664870,111 UPPER KENRIDGE AVENUE  KENRIDGE - Durbanville,KENRIDGE,Certificate Issued,Other Approvals,Private,Walls,Walls,,0,"12,600.00",Under 5 million,1,No,04/04/2016,06/04/2016,05/05/2016,03/05/2017,2016,TYGER NORTHERN SUBURBS
Tygerberg,70357186,Minor Works (Circulated),10334,447945,25 VOORTREKKER ROAD  BOSTON,BELLVILLE,Work Commenced,Other Approvals,Private,Cell Mast,Cell-Mast,,6,"12,600.00",Under 5 million,1,No,30/06/2017,12/07/2017,04/09/2018,,2017,BELLVILLE
Northern,70490510,Minor Works (Non Circulated),38547,700858,18 PINOT NOIR STREET   OUDE WESTHOF,BELLVILLE,Application Approved,Other Approvals,Private,Walls,Walls,,0,"12,600.00",Under 5 million,1,No,13/02/2020,03/03/2020,,,2020,TYGER NORTHERN SUBURBS
Tygerberg,70222133,Minor Works (Non Circulated),22578,739808,99 WEIMAR ROAD  CHURCHILL ESTATE,PAROW,Certificate Issued,Other Approvals,Private,Walls,,Raise Wall,0,"12,540.00",Under 5 million,1,No,26/11/2010,10/01/2011,02/12/2011,02/12/2011,2010,PAROW
Tygerberg,70170621,Minor Works (Non Circulated),19461,624583,16 ALABAMA STREET  RAVENSMEAD,PAROW,Certificate Issued,Other Approvals,Private,Walls,Other,Wall,0,"12,480.00",Under 5 million,1,No,05/01/2015,08/01/2015,11/02/2015,10/06/2015,2015,PAROW
Tygerberg,70322384,Minor Works (Non Circulated),5160,630189,11 VOLSCHENK STREET   CLAMHALL,PAROW,Certificate Issued,Other Approvals,Private,Walls,Walls,,0,"12,400.00",Under 5 million,1,No,04/11/2016,04/11/2016,10/04/2018,09/07/2020,2016,PAROW
Tygerberg,70487875,Minor Works (Non Circulated),7158,632052,35 SMITH STREET   GLENLILY,PAROW,Work Commenced,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Dwelling,0,"12,350.00",Under 5 million,1,No,21/01/2020,23/01/2020,13/08/2020,,2020,PAROW
Tygerberg,70064627,Minor Works (Non Circulated),7804,662752,8 SCOTT STREET  BOSBELL,BELLVILLE,Work Complete,Other Approvals,Private,Walls,Other,Wall,0,"12,260.00",Under 5 million,1,No,18/05/2012,29/05/2012,06/07/2012,24/07/2012,2012,BELLVILLE
Tygerberg,70272941,Minor Works (Non Circulated),959,633702,116 D F MALAN STREET  PAROW NORTH,PAROW,Certificate Issued,Other Approvals,Private,Walls,Other,Boundary wall,0,"12,100.00",Under 5 million,1,No,25/11/2015,04/12/2015,31/08/2017,31/08/2017,2015,PAROW
Tygerberg,70291599,Minor Works (Non Circulated),5771,564966,61 MOLTENO STREET  RICHMOND ESTATE,GOODWOOD,Certificate Issued,Other Approvals,Private,Walls,Other,Wall,0,"12,100.00",Under 5 million,1,No,05/04/2016,08/04/2016,05/05/2016,05/05/2016,2016,GOODWOOD
Tygerberg,70291599,Minor Works (Non Circulated),5771,564966,61 MOLTENO STREET  RICHMOND ESTATE,GOODWOOD,Certificate Issued,Other Approvals,Private,Walls,Other,Wall,0,"12,100.00",Under 5 million,1,No,05/04/2016,08/04/2016,05/05/2016,05/05/2016,2016,GOODWOOD
Tygerberg,70291599,Minor Works (Non Circulated),5771,564966,61 MOLTENO STREET  RICHMOND ESTATE,GOODWOOD,Certificate Issued,Other Approvals,Private,Walls,Other,Wall,0,"12,100.00",Under 5 million,1,No,05/04/2016,08/04/2016,05/05/2016,05/05/2016,2016,GOODWOOD
Northern,70362018,Minor Works (Non Circulated),333,665093,7 TAFELBERG WEG  KENRIDGE - Durbanville,KENRIDGE,Certificate Issued,Other Approvals,Private,Other,Other,Porch,9,"12,060.00",Under 5 million,1,No,06/10/2017,20/05/2019,02/07/2019,25/09/2019,2017,TYGER NORTHERN SUBURBS
Tygerberg,70412386,Minor Works (Circulated),18843,642090,3J MIDMAR ROAD   GROENVALLEI,BELLVILLE,Work Commenced,Other Approvals,Private,Wendy Houses,Wendy House,,9,"12,060.00",Under 5 million,1,No,26/07/2018,10/10/2018,01/11/2018,,2018,BELLVILLE
Tygerberg,70168275,Minor Works (Non Circulated),18620,448463,25 MALIBU STREET  OAKGLEN,BELLVILLE,Certificate Issued,Other Approvals,Private,Patios,Other,Patio Roof,14,"12,040.00",Under 5 million,1,No,25/05/2010,01/06/2010,01/09/2010,01/03/2011,2010,BELLVILLE
Tygerberg,70501778,Minor Works (Circulated),28984,652090,3 MIDAS CRESCENT   OAKGLEN,BELLVILLE,Work Complete,Other Approvals,Private,Patios,Other,"Covered Patio, Braai",8,"12,030.00",Under 5 million,0,No,27/05/2020,14/07/2020,16/10/2020,23/02/2021,2020,BELLVILLE
Tygerberg,70432000,Minor Works (Circulated),10353,634343,17 VOORTREKKER ROAD   BOSTON,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Shop: Finanshuis,0,"12,025.00",Under 5 million,1,No,12/11/2018,30/10/2019,09/12/2020,,2018,BELLVILLE
Tygerberg,70017872,Building Plan < 500m2,8551,567441,218 VOORTREKKER ROAD  VASCO ESTATE,GOODWOOD,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"12,000.00",Under 5 million,1,No,29/08/2012,16/11/2012,21/11/2012,,2012,GOODWOOD
Northern,70051361,Building Plan < 500m2,37795,707827,33 KOELENHOF STRAAT  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,Other,Rider,0,"12,000.00",Under 5 million,1,No,21/10/2013,28/10/2013,27/08/2015,04/05/2016,2013,TYGER NORTHERN SUBURBS
Tygerberg,70113192,Building Plan < 500m2,6115,565267,57 NELSON STREET  VASCO ESTATE,GOODWOOD,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"12,000.00",Under 5 million,1,No,04/12/2008,07/01/2009,09/01/2009,30/01/2009,2008,GOODWOOD
Tygerberg,70113192,Building Plan < 500m2,6115,565267,57 NELSON STREET  VASCO ESTATE,GOODWOOD,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"12,000.00",Under 5 million,1,No,04/12/2008,07/01/2009,09/01/2009,30/01/2009,2008,GOODWOOD
Tygerberg,70113192,Building Plan < 500m2,6115,565267,57 NELSON STREET  VASCO ESTATE,GOODWOOD,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"12,000.00",Under 5 million,1,No,04/12/2008,07/01/2009,09/01/2009,30/01/2009,2008,GOODWOOD
Northern,70116816,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"12,000.00",Under 5 million,1,No,27/10/2008,29/01/2010,03/02/2010,03/02/2010,2008,TYGERVALLEY
Northern,70233792,Minor Works (Circulated),11649,635046,,BELLVILLE,Certificate Issued,Other Approvals,Private,LP Gas,,LP Gas,0,"12,000.00",Under 5 million,1,No,20/06/2012,03/07/2012,04/06/2013,04/06/2013,2012,TYGER NORTHERN SUBURBS
Northern,70249804,Minor Works (Non Circulated),25949,648996,"18 ONRUST STREET  WATERKLOOF, DE BRON EXT 44",BELLVILLE,Certificate Issued,Other Approvals,Private,Walls,Other,Wall,0,"12,000.00",Under 5 million,1,No,03/07/2015,07/07/2015,,19/08/2016,2015,TYGER NORTHERN SUBURBS
Northern,70379524,Minor Works (Non Circulated),37418,659234,28 CINSAUT STREET  OUDE WESTHOF,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,Other,Rider Plans,0,"12,000.00",Under 5 million,1,No,30/11/2017,29/12/2017,11/01/2018,11/01/2018,2017,TYGER NORTHERN SUBURBS
Tygerberg,70514387,Minor Works (Circulated),27864,556079,19 ARLINGTON CRESCENT   RIVERTON ELSIES RIVER,GOODWOOD,Application Approved,Other Approvals,Private,Walls,Walls,,0,"12,000.00",Under 5 million,1,No,25/09/2020,28/09/2020,,,2020,GOODWOOD
Tygerberg,70051431,Minor Works (Non Circulated),39927,1001953,13 GOEDGEDACHT STREET  OOSTERZEE-BELLVILLE,BELLVILLE,Work Complete,Other Approvals,Private,Patios,Other,Patio,10,"11,900.00",Under 5 million,1,No,31/01/2014,05/02/2014,30/06/2014,30/06/2014,2014,BELLVILLE
Northern,70227433,Minor Works ,38053,697048,5A TOTIUS WAY  WELGEMOED,BELLVILLE,Certificate Issued,Other Approvals,,,,,0,"11,880.00",Under 5 million,1,No,01/04/2011,04/04/2011,19/04/2011,04/05/2011,2011,TYGER NORTHERN SUBURBS
Tygerberg,70228346,Minor Works (Non Circulated),6136,631127,55 FAIRFIELD - SOUTH STREET  GLENLILY,PAROW,Certificate Issued,Other Approvals,Private,Walls,,Wall,0,"11,840.00",Under 5 million,1,No,23/08/2011,25/08/2011,12/02/2013,12/02/2013,2011,PAROW
Northern,70224970,Minor Works (Non Circulated),29100,652213,19 AMANDEL CLOSE  PROTEAVALLEY,BELLVILLE,Certificate Issued,Other Approvals,Private,Walls,,wall,0,"11,830.00",Under 5 million,1,No,25/03/2011,28/03/2011,01/04/2011,23/05/2011,2011,TYGER NORTHERN SUBURBS
Northern,70469448,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET   TYGERVALLEY,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations Tygervalley,0,"11,700.00",Under 5 million,1,No,15/08/2019,26/11/2019,09/03/2020,,2019,TYGERVALLEY
Tygerberg,70060353,Minor Works (Non Circulated),6876,566025,21 DE WET STREET  RICHMOND ESTATE,GOODWOOD,Work Complete,Other Approvals,Private,Walls,Other,Wall,0,"11,680.00",Under 5 million,1,No,27/05/2005,09/06/2005,13/07/2005,06/03/2013,2005,GOODWOOD
Tygerberg,70051117,Minor Works (Non Circulated),24176,980927,21 PAROWDISE PLACE  PAROW VALLEY,PAROW,Work Commenced,Other Approvals,Private,Patios,Other,Covered Area,10,"11,600.00",Under 5 million,1,No,06/08/2013,08/08/2013,22/03/2019,,2013,PAROW
Tygerberg,70299259,Minor Works (Non Circulated),4828,629898,117 RYAN ROAD  CHURCHILL ESTATE,PAROW,Work Commenced,Other Approvals,Private,Walls,Other,Boundary wall,0,"11,550.00",Under 5 million,1,No,14/06/2016,29/06/2016,03/10/2016,,2016,PAROW
Tygerberg,70302950,Minor Works (Non Circulated),9697,664451,67 7TH AVENUE  BOSTON,BELLVILLE,Certificate Issued,Other Approvals,Private,Walls,Other,Wall,0,"11,550.00",Under 5 million,1,No,01/07/2016,22/07/2016,10/09/2017,09/10/2017,2016,BELLVILLE
Tygerberg,70310286,Minor Works (Non Circulated),34577,657321,27 VERONA ROAD  OAKGLEN,BELLVILLE,Work Commenced,Other Approvals,Private,Walls,Other,Wall,0,"11,550.00",Under 5 million,1,No,24/08/2016,26/08/2016,12/10/2016,,2016,BELLVILLE
Tygerberg,70411317,Minor Works (Non Circulated),10177,634193,42 3RD AVENUE  BOSTON,BELLVILLE,Work Commenced,Other Approvals,Private,Walls,Walls,,0,"11,550.00",Under 5 million,1,No,25/06/2018,16/07/2018,06/12/2019,,2018,BELLVILLE
Northern,70463064,Minor Works (Non Circulated),37454,659274,5 GAMAY STREET   OUDE WESTHOF,BELLVILLE,Certificate Issued,Other Approvals,Private,Walls,Walls,,0,"11,550.00",Under 5 million,1,No,08/07/2019,26/07/2019,13/02/2020,14/02/2020,2019,TYGER NORTHERN SUBURBS
Tygerberg,70159142,Temporary Buildings,16483,546592,177 DE VILLIERS STREET  VASCO ESTATE,GOODWOOD,Certificate Issued,Other Approvals,Private,Patios,Other,BRAAI/PATIO,33,"11,460.00",Under 5 million,1,No,28/04/2000,24/05/2000,25/05/2000,09/06/2000,2000,GOODWOOD
Tygerberg,70159142,Temporary Buildings,16483,546592,177 DE VILLIERS STREET  VASCO ESTATE,GOODWOOD,Certificate Issued,Other Approvals,Private,Patios,Other,BRAAI/PATIO,33,"11,460.00",Under 5 million,1,No,28/04/2000,24/05/2000,25/05/2000,09/06/2000,2000,GOODWOOD
Tygerberg,70159142,Temporary Buildings,16483,546592,177 DE VILLIERS STREET  VASCO ESTATE,GOODWOOD,Certificate Issued,Other Approvals,Private,Patios,Other,BRAAI/PATIO,33,"11,460.00",Under 5 million,1,No,28/04/2000,24/05/2000,25/05/2000,09/06/2000,2000,GOODWOOD
Northern,70299174,Building Plan < 500m2,48,660234,4 VAN DER WALT STREET  WELGEMOED,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,2,"11,440.00",Under 5 million,1,No,02/06/2016,02/06/2016,17/10/2016,27/02/2017,2016,TYGER NORTHERN SUBURBS
Tygerberg,70325218,Building Plan < 500m2,19095,642369,11B THEEWATER STREET  GROENVALLEI,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,Fire place,2,"11,440.00",Under 5 million,1,No,21/11/2016,25/11/2016,02/11/2017,,2016,BELLVILLE
Northern,70348483,Minor Works (Non Circulated),31505,654397,13 TRITONIA AVENUE  WELGEDACHT,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,Other,Gas Storage Unit,2,"11,440.00",Under 5 million,1,No,18/05/2017,24/05/2017,22/06/2017,22/06/2017,2017,TYGER NORTHERN SUBURBS
Tygerberg,70522871,Building Plan < 500m2,7642,632424,13 FRANKFORT STREET   GLENLILY,PAROW,Amendment Client,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,2,"11,440.00",Under 5 million,1,No,28/10/2020,,,,2020,PAROW
Tygerberg,70522871,Building Plan < 500m2,7642,632424,13 FRANKFORT STREET   GLENLILY,PAROW,Amendment Client,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,2,"11,440.00",Under 5 million,1,No,28/10/2020,,,,2020,PAROW
Tygerberg,70522871,Building Plan < 500m2,7642,632424,13 FRANKFORT STREET   GLENLILY,PAROW,Amendment Client,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,2,"11,440.00",Under 5 million,1,No,28/10/2020,,,,2020,PAROW
Tygerberg,70524438,Building Plan < 500m2,2637,628202,3 LEERDAM STREET   AVONDALE - PAROW,PAROW,Application Approved,Additions and Alterations,Private,Dwelling Houses,Braai Room,,2,"11,440.00",Under 5 million,1,No,23/11/2020,23/11/2020,,,2020,PAROW
Tygerberg,70032754,Building Plan < 500m2,18637,641934,2 PARK MEWS STREET  DE LA HAYE,BELLVILLE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,19,"11,400.00",Under 5 million,1,No,17/08/2005,08/09/2005,20/09/2012,21/09/2012,2005,BELLVILLE
Northern,70261263,Minor Works (Non Circulated),394,665153,9 VAN DER STEL WEG  KENRIDGE - Durbanville,KENRIDGE,Certificate Issued,Other Approvals,Private,Wendy Houses,Other,Wendy House,19,"11,400.00",Under 5 million,1,No,15/09/2015,15/09/2015,01/03/2017,01/03/2017,2015,TYGER NORTHERN SUBURBS
Tygerberg,70061231,Minor Works (Non Circulated),10467,634423,18 BROADWAY STREET  VREDELUST BELLVILLE,BELLVILLE,Work Complete,Other Approvals,Private,Carports,Carport,,18,"11,340.00",Under 5 million,1,No,04/12/2006,08/05/2007,06/07/2011,14/12/2011,2006,BELLVILLE
Northern,70405094,Building Plan < 500m2,21727,644696,7 MYNHARDT CLOSE  DOOR DE KRAAL,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,Other,"Patio extension, Internal changes",6,"11,280.00",Under 5 million,1,No,19/05/2018,28/06/2018,27/07/2018,02/10/2018,2018,TYGER NORTHERN SUBURBS
Tygerberg,70197456,Building Plan < 500m2,21703,448464,3 HADLEY STREET  BELLAIR,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,,Dwelling Extension,8,"11,250.00",Under 5 million,1,No,28/06/2002,12/07/2002,18/09/2002,18/09/2002,2002,BELLVILLE
Tygerberg,70054097,Minor Works (Circulated),5072,448508,165 DURBAN ROAD  OAKDALE,BELLVILLE,Work Commenced,Other Approvals,Private,LP Gas,LP Gas,LP Gas,1,"11,200.00",Under 5 million,1,No,08/12/2010,21/12/2010,21/12/2010,,2010,BELLVILLE
Tygerberg,70059152,Minor Works (Circulated),17490,547166,247 VOORTREKKER ROAD  VASCO ESTATE,GOODWOOD,Work Complete,Other Approvals,Private,Other,Other,Cellmast,1,"11,200.00",Under 5 million,1,No,20/08/2010,09/09/2010,02/05/2013,02/05/2013,2010,GOODWOOD
Tygerberg,70059183,Minor Works (Circulated),24027,647151,62 VOORTREKKER ROAD  BELLVILLE CBD,BELLVILLE,Work Complete,Other Approvals,Private,Other,Other,Cell mast,1,"11,200.00",Under 5 million,1,No,20/08/2010,06/09/2010,03/04/2013,09/05/2013,2010,BELLVILLE CBD
Tygerberg,70060862,Minor Works (Circulated),23427,700663,30 FAIRWAY CLOSE  PAROW GOLF COURSE,PAROW,Work Complete,Other Approvals,Private,Other,Other,Cellmasts - Greenfield,1,"11,200.00",Under 5 million,1,No,11/03/2013,15/03/2013,18/03/2013,20/03/2013,2013,PAROW
Tygerberg,70062185,Minor Works (Circulated),9074,450523,80 VOORTREKKER ROAD  PAROW,PAROW,Work Complete,Other Approvals,Private,Other,Other,New Telkom Equipment,1,"11,200.00",Under 5 million,1,No,02/02/2011,01/03/2011,02/05/2013,09/05/2013,2011,PAROW
Tygerberg,70063363,Minor Works (Circulated),9434,633566,71 VICTORIA STREET  PAROW,PAROW,Work Complete,Other Approvals,Private,Other,Other,Cell mast,1,"11,200.00",Under 5 million,1,No,06/05/2011,26/05/2011,23/06/2011,30/01/2012,2011,PAROW
Tygerberg,70065571,Minor Works (Circulated),23427,700663,30 FAIRWAY CLOSE  PAROW GOLF COURSE,PAROW,Work Complete,Other Approvals,Private,Other,Other,Cell Mast,0,"11,200.00",Under 5 million,1,No,15/05/2009,23/07/2009,15/03/2010,01/03/2012,2009,PAROW
Tygerberg,70066767,Minor Works (Circulated),11093,618508,60 PAUL KRUGER ROAD  PAROW VALLEY,PAROW,Work Complete,Other Approvals,Private,Other,Other,Cell Mast,1,"11,200.00",Under 5 million,1,No,09/09/2011,11/10/2011,11/12/2012,11/12/2012,2011,PAROW
Tygerberg,70176419,Minor Works (Non Circulated),3761,629103,5 WARREN STREET  FAIRFIELD ESTATE,PAROW,Certificate Issued,Other Approvals,Private,Walls,Other,Wall,0,"11,200.00",Under 5 million,1,No,04/11/2014,12/11/2014,23/12/2014,22/01/2015,2014,PAROW
Tygerberg,70196327,Minor Works (Circulated),6874,631797,47 CHURCH ROAD  GLENLILY,PAROW,Certificate Issued,Other Approvals,Private,Other,Other,Other (Cell Mast),0,"11,200.00",Under 5 million,1,No,05/08/2009,10/11/2009,26/02/2010,12/03/2010,2009,PAROW
Tygerberg,70196479,Minor Works (Circulated),39912,998018,32 VOORTREKKER ROAD  HARDEKRAALTJIE,BELLVILLE,Certificate Issued,Other Approvals,Private,LP Gas,Other,LP Gas,1,"11,200.00",Under 5 million,1,No,29/07/2009,14/08/2009,18/08/2009,17/09/2009,2009,BELLVILLE
Tygerberg,70199221,Minor Works (Circulated),10334,447945,25 VOORTREKKER ROAD  BOSTON,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,,Cell Mast,0,"11,200.00",Under 5 million,1,No,10/09/2009,28/01/2010,01/03/2010,17/03/2010,2009,BELLVILLE
Tygerberg,70201455,Minor Works (Circulated),6874,631797,47 CHURCH ROAD  GLENLILY,PAROW,Certificate Issued,Other Approvals,Private,Other,,Cell mast: Greenfield,1,"11,200.00",Under 5 million,1,No,14/08/2009,04/09/2009,14/04/2010,14/04/2010,2009,PAROW
Northern,70204218,Minor Works (Circulated),38722,958088,39 CARL CRONJE DRIVE  TYGERVALLEY WATERFRONT,BELLVILLE,Certificate Issued,Other Approvals,Private,LP Gas,,LP Gas,1,"11,200.00",Under 5 million,1,No,09/09/2009,30/09/2009,15/10/2009,15/10/2009,2009,TYGERVALLEY
Tygerberg,70205006,Minor Works (Circulated),10329,617913,168 MARKET STREET  KLIPKOP,PAROW,Certificate Issued,Other Approvals,Private,Other,,Cell masts,1,"11,200.00",Under 5 million,1,No,21/08/2009,12/10/2009,,,2009,PAROW
Tygerberg,70205006,Minor Works (Circulated),10329,617913,168 MARKET STREET  KLIPKOP,PAROW,Certificate Issued,Other Approvals,Private,Other,,Cell masts,1,"11,200.00",Under 5 million,1,No,21/08/2009,12/10/2009,,,2009,PAROW
Tygerberg,70205006,Minor Works (Circulated),10329,617913,168 MARKET STREET  KLIPKOP,PAROW,Certificate Issued,Other Approvals,Private,Other,,Cell masts,1,"11,200.00",Under 5 million,1,No,21/08/2009,12/10/2009,,,2009,PAROW
Tygerberg,70210307,Minor Works (Circulated),15411,448336,28 JAVA - EAST STREET  FAIRFIELD ESTATE,PAROW,Certificate Issued,Other Approvals,Private,Other,,Cell Masts (Roof top),1,"11,200.00",Under 5 million,1,No,30/03/2010,21/04/2010,23/04/2010,03/04/2012,2010,PAROW
Tygerberg,70210310,Minor Works (Circulated),15411,448336,28 JAVA - EAST STREET  FAIRFIELD ESTATE,PAROW,Certificate Issued,Other Approvals,Private,Other,,Cell Masts (Roof top),1,"11,200.00",Under 5 million,1,No,30/03/2010,20/04/2010,,,2010,PAROW
Northern,70212809,Building Plan < 500m2,39230,804551,79 KANONNIER CRESCENT  KANONBERG,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Town House/Flats/Other Residen,,Rider Plan,1,"11,200.00",Under 5 million,1,No,24/02/2010,12/05/2010,18/05/2010,02/02/2011,2010,TYGER NORTHERN SUBURBS
Tygerberg,70213765,Minor Works (Circulated),36063,707766,2 STRAND STREET  BELLVILLE CBD,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,,Cell masts - Rooftop,1,"11,200.00",Under 5 million,1,No,11/11/2009,26/11/2009,,,2009,BELLVILLE CBD
Tygerberg,70215819,Minor Works (Circulated),7855,662785,105 VOORTREKKER ROAD  BOSTON,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,,Fire Plan,1,"11,200.00",Under 5 million,1,No,14/12/2009,22/07/2011,04/07/2011,11/07/2011,2009,BELLVILLE
Tygerberg,70219879,Minor Works (Circulated),9683,568058,1 CONSANI ROAD  ELSIES RIVER INDUSTRIA,GOODWOOD,Certificate Issued,Other Approvals,Private,LP Gas,,LP Gas,1,"11,200.00",Under 5 million,1,No,06/12/2010,17/02/2011,27/05/2011,01/08/2011,2010,ELSIES RIVER INDUSTRIA
Northern,70221761,Minor Works (Circulated),38952,708289,2 OPSTAL CLOSE  KANONBERG,BELLVILLE,Certificate Issued,Other Approvals,Private,LP Gas,,LP Gas,1,"11,200.00",Under 5 million,1,No,01/12/2010,14/12/2010,13/01/2011,13/01/2011,2010,TYGER NORTHERN SUBURBS
Northern,70226047,Minor Works (Non Circulated),340,656952,26A NEDERBURGH STREET  WELGEMOED,BELLVILLE,Certificate Issued,Other Approvals,Private,Other,,"""LP Gas, Fire""",1,"11,200.00",Under 5 million,1,No,21/09/2011,21/12/2011,13/04/2012,13/04/2012,2011,TYGER NORTHERN SUBURBS
Northern,70231209,Minor Works (Circulated),34109,657040,307 DURBAN ROAD  BO OAKDALE,BELLVILLE,Certificate Issued,Other Approvals,Private,LP Gas,,Gas Installation,1,"11,200.00",Under 5 million,1,No,04/06/2012,08/06/2012,,,2012,TYGER NORTHERN SUBURBS
Northern,70232778,Minor Works (Circulated),11649,635046,,BELLVILLE,Certificate Issued,Other Approvals,Private,LP Gas,,LP Gas,1,"11,200.00",Under 5 million,1,No,05/09/2012,13/09/2012,21/09/2012,26/09/2012,2012,TYGER NORTHERN SUBURBS
Tygerberg,70206515,,4913,629976,67 5TH AVENUE  CHURCHILL ESTATE,PAROW,Certificate Issued,Additions and Alterations,,,,,4,"11,064.00",Under 5 million,1,No,14/08/2002,,27/08/2002,28/01/2003,2002,PAROW
Tygerberg,70496805,Minor Works (Circulated),23334,696058,2 DE LA REY STREET   PAROW EAST,PAROW,Application Approved,Additions and Alterations,Private,Internal Alterations,Other,"Internal Alterations: Shop FC-05, Zebro's Parow Centre",0,"11,050.00",Under 5 million,1,No,11/03/2020,10/05/2020,,,2020,PAROW
